"PID","cond","antiest","ampride","trustgov","demsatis","radchange","distrust","discontent","top_value_char","response","exclude","val_1","val_2","val_3","val_4","val_5","antiest_1","antiest_2","antiest_3","antiest_4R","vote_bin","vote_who","vote_whoelse","PartyID7","PartyID5","IDEO","GENDER","AGE","RACETHNICITY","EDUC5","INCOME","order_dvs_first","order_dvs_second","order_dvs_third","order_dvs_fourth","order_dvs_fifth","STATE","RELIG","EMPLOY","REGION4","REGION9","STARTDT"
2938,"ctrl",3.75,3,4,3,2,4,3.25,"Freedom","Being able to express yourself honestly, vulgarly, intently, and authentically. Having the freedom to choose how to dress, who to date, what job to work.",0,"Capitalisim","Freedom","Financial Gain","Ease of Life","Family Unity",3,3,4,5,"no vote",NA,NA,4,3,NA,"female",23,"black/non-hisp","less HS","$15,000 to $19,999","antiest","ampride","radchange","demsatis","trustgov","CA",11,1,4,9,"11/27/2024 13:09"
2943,"brkn",6.75,4,2,4,6,6,6.25,"To be fair and just","When our judiciary system is prejudice against certain individuals and the people who have money can do what they want",0,"To be honest","To be fair and just","The right to bare arms","Freedom of speech","The right to work",7,7,6,7,"no vote",NA,NA,2,1,5,"female",55,"hisp","some coll","$20,000 to $24,999","trustgov","antiest","demsatis","ampride","radchange","NY",1,6,1,2,"11/20/2024 14:09"
2946,"brkn",5,5,2,4,6,6,5.66666666666667,"Freedom","Everyone is not the same. Some groups of citizens are not treated equally. Everyone should be treated with the same respect .",0,"Freedom","The right to speak","The right to protect yourself","Helping US citizens","Families",5,5,4,6,"vote","trump",NA,7,5,3,"female",55,"white/non-hisp","some coll","$100,000 to $124,999","radchange","antiest","demsatis","trustgov","ampride","SC",1,5,3,5,"11/19/2024 19:37"
2951,"brkn",5.75,3,2,2,6,6,5.91666666666667,"Freedom","Women being told what they can or cannot do with their bodies. Not being able to have an abortion.",0,"Freedom","Liberty","Democracy","Unity","Integrity",6,6,7,4,"vote","harris",NA,1,1,3,"female",75,"white/non-hisp","HS","$40,000 to $49,999","ampride","demsatis","radchange","antiest","trustgov","PA",1,5,1,2,"11/19/2024 20:34"
2961,"kept",5.75,3,1,2,7,7,6.58333333333333,"Respect","The US is not hilding up tho their promise with just about anything. Wages are down and the cost of living is up. A masters degree cant even land you a promising job. Those who went to college are in all this debt while those who didnt are further ahead in life .",0,"Money","Power","Dependency from others","Respect","Control",7,5,6,5,"vote","harris",NA,3,2,3,"male",30,"black/non-hisp","bachelors","$100,000 to $124,999","ampride","antiest","demsatis","trustgov","radchange","MI",12,4,2,3,"11/19/2024 20:35"
2966,"kept",3.75,5,4,6,2,4,3.25,"Liberty","We have freedom of speech and the right to bear arms. We also have choices in almost everything we do.",0,"Liberty","Justice","Freedom","Rights","Protection",2,5,5,3,"no vote",NA,NA,6,5,4,"male",44,"white/non-hisp","some coll","$60,000 to $74,999","radchange","trustgov","ampride","demsatis","antiest","DE",12,1,3,5,"11/20/2024 19:13"
3004,"ctrl",3.25,2,4,5,5,4,4.08333333333333,"Freedom of speech","The ability to speak freely, to speak your ideas & opinions without fear of punishment for expressing your thoughts.",0,"Freedom of speech","Freedom of the press","Freedom of Religion","Freedom of Assembly","Protection from seizure",5,3,2,3,"vote","harris",NA,3,2,2,"female",50,"white/non-hisp","bachelors","$75,000 to $84,999","radchange","antiest","ampride","demsatis","trustgov","IN",1,1,2,3,"11/19/2024 20:46"
3007,"kept",4.75,5,5,6,6,3,4.58333333333333,"Love of independence","I can still have my freedom. I can come and go as I please and even say what's on my mind without any consequences",0,"Freedom of speech","Self government","Equality","Love of independence","Opportunity",6,4,6,3,"vote","trump",NA,5,4,4,"female",48,"white/non-hisp","HS","$50,000 to $59,999","trustgov","antiest","demsatis","ampride","radchange","IN",12,1,2,3,"11/21/2024 2:32"
3016,"ctrl",4.75,2,2,3,2,6,4.25,"General welfare","Looking out for ALL Americans to ensure the rights to life Liberty and the pursuit of happiness.  Including health, wages, housing, etc.  Your quality of life should not be different whether you are rich or poor.",0,"Justice","Tranquility","Common defense","General welfare","Posterity",6,5,5,3,"vote","harris",NA,3,2,3,"female",51,"white/non-hisp","some coll","$50,000 to $59,999","ampride","demsatis","trustgov","radchange","antiest","CA",2,7,4,9,"11/22/2024 5:48"
3022,"brkn",6.75,2,2,3,7,6,6.58333333333333,"Freedom","An example would be the supreme court striking down Roe v. Wade, putting the rights of women in certain states to be in limbo.",0,"Freedom","Equality","Secular","Individualism","Capitalism",7,7,7,6,"no vote",NA,NA,3,2,1,"male",24,"other/non-hisp","some coll","$50,000 to $59,999","radchange","demsatis","trustgov","antiest","ampride","FL",11,1,3,5,"11/29/2024 16:04"
3031,"kept",3.75,4,2,5,5,6,4.91666666666667,"Freedom of speech","People should be able to speak freely as long as they do not inhibit the lives of other people.
allow people to protest as long as they do not disrupt other people's lives.",0,"Freedom of religion","Freedom of speech","Right to arms","no prosecution/representation","no interferience/life",2,5,5,3,"vote","trump",NA,5,4,3,"male",67,"hisp","some coll","$50,000 to $59,999","demsatis","radchange","ampride","antiest","trustgov","GA",2,1,3,5,"11/19/2024 18:14"
3035,"kept",4.66666666666667,1,3,3,5,5,4.88888888888889,"Equality","It's isn't, but it's trying. Affirmative action, nonprofits like the ACLU fighting for equality, etc...",0,"Equality","Justice","Freedom","Democracy","Sovereignty",5,NA,6,3,"vote","harris",NA,3,2,1,"female",43,"white/non-hisp","masters","$100,000 to $124,999","demsatis","radchange","trustgov","antiest","ampride","WV",9,1,3,5,"11/19/2024 21:44"
3039,"ctrl",6.25,3,2,4,4,6,5.41666666666667,"Freedom","To be able to do what one wants within except able standards. Also to become what one wants to achieve in life.",0,"Freedom","Tenacity","Determination","Work ethic","Bravery",5,6,7,7,"no vote",NA,NA,4,3,3,"male",54,"hisp","some coll","$30,000 to $34,999","radchange","demsatis","trustgov","antiest","ampride","IL",12,1,2,3,"11/19/2024 18:36"
3041,"kept",7,1,1,1,1,7,5,"Melting pot","Oxnard/Port hueneme today -Mexicans, Black, Vietnamese, Chinease, American white, Indian from India, Philipine, Samoan- no trouble between races except white vs all others  - crime is equal opportunity otherwise",0,"Better future","Melting pot","Economic stability","Justice","Compassion",7,7,7,7,"vote","harris",NA,1,1,5,"male",66,"hisp","bachelors","$200,000 or more","radchange","ampride","demsatis","trustgov","antiest","CA",2,1,4,9,"11/23/2024 7:46"
3043,"brkn",3.5,5,3,1,7,5,5.16666666666667,"To bear arms","I believe the freedom to bear arms is my right and not to be taken away by our government.i have the rite to protect myself and loved ones.",0,"Freedom religion","To bear arms","Justice","Freedom of speach","Education",2,4,3,5,"vote","trump",NA,7,5,5,"female",77,"white/non-hisp","HS","$25,000 to $29,999","ampride","trustgov","antiest","radchange","demsatis","GA",1,5,3,5,"11/19/2024 21:04"
3047,"kept",4.25,3,3,2,2,5,3.75,"egual rights","The affirmation of Same-sex marriage. Empowering women through Abortion access. Affirmative action. Transgender recognition",0,"Persuite of happiness","egual rights","Liberty","equal justice","Life",7,2,2,6,"vote","harris",NA,1,1,1,"male",65,"white/non-hisp","bachelors","$40,000 to $49,999","ampride","radchange","demsatis","antiest","trustgov","CA",10,5,4,9,"11/20/2024 6:08"
3069,"brkn",4.25,5,7,1,5,1,3.41666666666667,"Freedom","Not all people receive the right of speech. Freedom to live where they choose, or have the same opportunity as others. Not even the freedom to arrive here",0,"Freedom","Equality","Integrity","Religion","Innocent proven guilty",6,5,3,3,"vote","harris",NA,1,1,1,"female",53,"hisp","some coll","$125,000 to $149,999","trustgov","antiest","demsatis","radchange","ampride","NM",12,1,4,8,"11/20/2024 16:25"
3071,"brkn",5.25,5,3,3,6,5,5.41666666666667,"Freedom in general","Politicians are corrupt and self serving. Wealth is unfairly and unevenly distributed. Freedom depends on race, ethnicity, and wealth.",0,"Freedom in general","Equality","Pursuing dreams","Independence","Life",7,5,3,6,"vote","harris",NA,6,5,4,"female",39,"white/non-hisp","masters","$40,000 to $49,999","ampride","antiest","radchange","trustgov","demsatis","NH",1,1,1,1,"11/19/2024 18:04"
3077,"brkn",5,5,1,1,7,7,6.33333333333333,"Freedom for everyone.","People get silenced by other if they go against the narrative on the opposing party. Never open for debate.",0,"Freedom for everyone.","Be kind to one another.","Trustworthiness in neighbor","Be able to provide for family","Integrity",6,6,6,2,"vote","trump",NA,6,5,4,"male",44,"white/non-hisp","some coll","$125,000 to $149,999","ampride","demsatis","radchange","antiest","trustgov","SD",12,1,2,4,"11/26/2024 20:43"
3080,"kept",3.75,1,3,5,6,5,4.91666666666667,"Freedom","People are not living under authoritarian rule.  We are allowed to worship, work and speak as we desire, within reason",0,"Freedom","Democracy","Independence","Success","Hard work",5,4,3,3,"vote","harris",NA,1,1,2,"female",49,"multi/non-hisp","masters","$175,000 to $199,999","trustgov","antiest","radchange","demsatis","ampride","NJ",5,7,1,2,"11/19/2024 18:51"
3086,"kept",4.25,3,3,4,4,5,4.41666666666667,"Freedom","Right to speech, religion, choice including right to choose an abortion, right to choose political leaders through fair voting processes.",0,"Freedom","Equality","Education","Moral","Democracy",6,4,4,3,"vote","harris",NA,2,1,2,"female",34,"white/non-hisp","masters","$200,000 or more","demsatis","trustgov","radchange","antiest","ampride","CT",11,1,1,1,"11/23/2024 17:52"
3090,"ctrl",5,4,5,6,6,3,4.66666666666667,"Freedom","Freedom means you are free in this country compared to other countries where people are highly controlled.",0,"Freedom","Democracy","Diversity","Equality","Self-government",7,5,5,3,"vote","trump",NA,4,3,5,"male",57,"hisp","HS","$10,000 to $14,999","demsatis","trustgov","radchange","antiest","ampride","NY",1,1,1,2,"11/19/2024 18:02"
3099,"ctrl",4.75,5,4,4,4,4,4.25,"pursuit of happiness","What makes me happy without harming anyone or thing. It's not illegal.  Or  hateful to any group or individual.",0,"Equality","Freedom of faith","pursuit of happiness","Self defense","Provide defense",6,5,4,4,"vote","trump",NA,6,5,3,"female",64,"white/non-hisp","some coll","$60,000 to $74,999","antiest","radchange","trustgov","ampride","demsatis","KY",2,2,3,6,"11/19/2024 20:41"
3103,"brkn",5,3,4,2,2,4,3.66666666666667,"Democracy","President and one party has too much control and not enough checks and balances. President is perceived to be above the law. Justices are appointed unfairly.",0,"Democracy","Freedom","Judicial equality","State and church separate","Checks and balances",6,5,4,5,"vote","harris",NA,2,1,3,"female",56,"white/non-hisp","masters","$85,000 to $99,999","trustgov","antiest","ampride","demsatis","radchange","NY",12,7,1,2,"11/22/2024 13:47"
3104,"ctrl",6.5,3,3,3,3,5,4.83333333333333,"freedom","The ability to believe and strive for what you think is true. even if the truth might offend other people.",0,"family","freedom","democracy","free market","free religion",7,7,5,7,"no vote",NA,NA,2,1,3,"male",23,"hisp","some coll","$30,000 to $34,999","demsatis","radchange","antiest","trustgov","ampride","FL",2,1,3,5,"11/30/2024 2:38"
3110,"ctrl",5.75,3,2,2,6,6,5.91666666666667,"Belief in GOD","We are created in the image of GOD; therefore, He is our Father and we must give Him the praise, honor and respect that He deserves.  And His love for us goes beyond any human understanding that He gave His son as a sacraficial lamb to cleanse us of our sins.  READ THE BIBLE",0,"Belief in GOD","Equality for all","Freedom of choice","Liberty for all","Kindness toward each other",6,6,6,5,"vote","harris",NA,1,1,4,"female",76,"hisp","some coll","$60,000 to $74,999","trustgov","radchange","demsatis","ampride","antiest","FL",12,5,3,5,"11/20/2024 6:09"
3111,"brkn",5.5,2,3,4,4,5,4.83333333333333,"Freedom of speech","New movements by current (incumbent ) to censor the press ands ideas. It is complicated due to censorship of falsehoods being shared during the pandemic which was in place for heath. Now it’s bonkers. Folks are pulling out of X/twitter because so much falsehoods are being presented as fact.",0,"Individuality","Freedom of religion","Freedom of speech","Right to bare arns","Freedom of press",6,6,6,4,"vote","harris",NA,3,2,3,"female",50,"white/non-hisp","masters","$200,000 or more","ampride","antiest","demsatis","radchange","trustgov","CA",12,1,4,9,"11/19/2024 22:36"
3116,"kept",4.5,4,4,2,2,4,3.5,"Freedom","The United States is trying to live up to this promise. Most people do feel freedom for the most part but it's not all citizens which needs to change.",0,"Diversity","Democracy","Privacy","Liberty","Freedom",6,5,4,3,"vote","harris",NA,1,1,1,"female",38,"hisp","some coll","$75,000 to $84,999","antiest","trustgov","ampride","demsatis","radchange","TX",2,2,3,7,"11/19/2024 18:22"
3120,"brkn",3.25,5,3,2,6,5,4.75,"We are a Republic and follow a constituttion","The equality between the 3 branches of Government become out of balance when one party dominates.  Executive orders, etc. 
Legislative Branch voted on party line and not for the needs of the country.  The Judicial was used to persecute Donald Trump.  Charges were politically motivated",0,"We are a Republic and follow a constituttion","All Men and Women are Equal","Liberty  Free to make choices within the law","One Nartion Under God","Democracy and State Rule",2,5,2,4,"vote","trump",NA,7,5,5,"female",73,"white/non-hisp","some coll","$100,000 to $124,999","trustgov","antiest","demsatis","radchange","ampride","UT",3,1,4,8,"11/19/2024 18:40"
3130,"brkn",5,3,3,4,6,5,5.33333333333333,"All equal","Immagration with  rule and law that find those who imagrate are not treated as equals. Discrimination occurred in recruitment hiring and at work",0,"All equal","Right to bear arms","Liberty","Life","Purist of happiness",6,6,5,3,"vote","trump",NA,6,5,4,"male",66,"white/non-hisp","masters","$40,000 to $49,999","trustgov","radchange","antiest","demsatis","ampride","WI",1,5,2,3,"11/20/2024 17:53"
3135,"kept",4.75,4,5,4,5,3,4.25,"EQUALITY/EGALITARIANISM","The American principle of equality states both Both male and female have equal rights women work and vote freely now",0,"EQUALITY/EGALITARIANISM","SELF-HELP CONTROL.","COMPETITION AND FREE ENTERPRISE","FUTURE ORIENTATION","Informality",5,3,5,6,"no vote",NA,NA,6,5,2,"female",34,"white/non-hisp","HS","$20,000 to $24,999","ampride","radchange","trustgov","demsatis","antiest","WV",11,6,3,5,"11/19/2024 20:07"
3136,"kept",4.25,4,6,5,3,2,3.08333333333333,"Free speech","Most Americans can still say what they want,  believe what they want, and express these thoughts to others.",0,"Free speech","Free enterprise","Respect freedom of press","Able to practice religion","Government represents will of most people",5,6,5,1,"vote","harris",NA,1,1,3,"male",56,"asian/non-hisp","masters","$125,000 to $149,999","trustgov","ampride","antiest","demsatis","radchange","CA",1,1,4,9,"11/20/2024 5:58"
3140,"brkn",5,3,4,2,7,4,5.33333333333333,"Free Enterprise","Personal decisions are being made by the government instead of the individuals. I don't need 100 characters.",0,"Environment","Change","Time","Self Help","Free Enterprise",6,5,5,4,"vote","harris",NA,1,1,NA,"female",65,"black/non-hisp","some coll","$5,000 to $9,999","ampride","antiest","demsatis","radchange","trustgov","GA",1,6,3,5,"11/30/2024 14:38"
3148,"kept",5,1,3,3,2,5,4,"Equality of all","Social services are provided to ensure that all have equal access to education and health services. Laws against discrimination help to ensure a level playing field.",0,"Equality of all","Freedom from oppression","Unity","Protecting all citizens","Opportunities for all",7,5,4,4,"vote","harris",NA,2,1,3,"female",60,"white/non-hisp","masters","$100,000 to $124,999","radchange","demsatis","trustgov","antiest","ampride","ID",12,1,4,8,"11/19/2024 16:13"
3149,"brkn",6,4,3,3,5,5,5.33333333333333,"Freedom","The United States is known for being the land of the free and the home of the brave. Isn’t that why most people try to come here?",0,"Freedom","Life","Liberty","Patriotism","Equality",5,7,7,5,"vote","trump",NA,6,5,4,"female",33,"white/non-hisp","bachelors","$125,000 to $149,999","ampride","antiest","trustgov","demsatis","radchange","TN",1,1,3,6,"11/20/2024 17:21"
3157,"brkn",5.75,2,2,5,3,6,4.91666666666667,"Freedom of Religion","The Biden Administration has unfairly prosecuted Christians who are protesting at abortion clinics.  The biden Adminiistration is forcing Christian doctors to perform abortions against their conscience and 
Christian values.",0,"Free Speech","Right to Bear Arms","Freedom of Religion","Right to Assembly","Right to Personal Property",2,7,7,7,"vote","trump",NA,7,5,5,"male",66,"white/non-hisp","masters","$100,000 to $124,999","demsatis","radchange","antiest","ampride","trustgov","TX",1,5,3,7,"11/20/2024 21:46"
3160,"brkn",4.75,5,3,6,5,5,4.91666666666667,"Freedom","Unfortunately we have seen a marked rise in the ""fact checking"" or ""censoring"" of so called fake news. This is NOT freedom of speech as it was intended by our founding fathers.",0,"Freedom","Liberty","Justice","Opportunity","Courage",5,5,3,6,"vote","trump",NA,7,5,5,"male",23,"multi/non-hisp","some coll","$20,000 to $24,999","antiest","ampride","radchange","demsatis","trustgov","OK",1,1,3,7,"11/27/2024 13:40"
3164,"kept",4.75,2,3,4,5,5,4.91666666666667,"Freedom","Allowing people to be and do what they want. To live where they want to live, have a job or no job. And no restrictions on family.",0,"Freedom","Happiness","Value","Family","Home",5,5,4,5,"vote","trump",NA,7,5,3,"female",30,"white/non-hisp","masters","$5,000 to $9,999","antiest","radchange","ampride","trustgov","demsatis","MO",1,7,2,4,"11/20/2024 14:02"
3172,"kept",3.5,4,1,4,2,7,4.16666666666667,"Freedom of religion","Not discriminating against others religion. Our nation was founded by people escaping religious persecution",0,"Freedom of religion","Freedom of speech","Democracy","Strong military","Capitalism",2,4,4,4,"vote","trump",NA,7,5,5,"male",31,"white/non-hisp","bachelors","$35,000 to $39,999","radchange","antiest","trustgov","demsatis","ampride","CO",1,1,4,8,"11/19/2024 19:54"
3176,"kept",3.25,3,NA,3,1,NA,2.125,"Freedom of religion","To worship God however wherever whenever I choose. To feel safe to worship God as I choose. To provide for my family and know that whatever I do for my family it is not restricted  by the government.",0,"Freedom of speech","Freedom of religion","Democracy the right to vote","Bravery courage","The sky is the limit",4,1,5,3,"vote","harris",NA,1,1,3,"female",64,"black/non-hisp","HS","$40,000 to $49,999","ampride","trustgov","antiest","demsatis","radchange","MO",12,4,2,4,"11/22/2024 18:23"
3183,"ctrl",4,4,5,5,2,3,3,"Democratic","democratic means the will of the people are reflected in the government. The government is by the people and for the people.  All points of view are respected.",0,"Democratic","diverse","cooperation","strong","United",5,4,4,3,"vote","harris",NA,3,2,3,"male",67,"white/non-hisp","some coll","$100,000 to $124,999","antiest","trustgov","radchange","ampride","demsatis","NC",12,1,3,5,"11/19/2024 23:16"
3189,"brkn",4.75,3,2,3,6,6,5.58333333333333,"Creating a safe economy to live in","They are out sourcing jobs that shouldn't be outsourced. They are paying immigrants to come in and work our jobs. Funding for US citizens is so hard to come by yet an immigrant gets them just for coming to the US. They need to stop that.",0,"Freedom of speech","Freedom to praise/worship","Liberty to protect yourself","Access to good healthcare","Creating a safe economy to live in",1,6,6,6,"no vote",NA,NA,4,3,3,"female",33,"white/non-hisp","some coll","$125,000 to $149,999","demsatis","antiest","trustgov","radchange","ampride","WV",1,2,3,5,"11/20/2024 15:38"
3200,"brkn",4.75,5,6,6,2,2,2.91666666666667,"Freedom","At times there is too much government control. This infringes on our freedoms.  Also some people believe their freedoms are more important than others",0,"Life","Liberty","Freedom","Happiness","Dignity of all",5,5,6,3,"vote","other","No one",6,5,3,"female",38,"white/non-hisp","bachelors","$200,000 or more","ampride","demsatis","radchange","antiest","trustgov","NC",1,1,3,5,"11/19/2024 20:19"
3202,"brkn",5,3,3,2,5,5,5,"Freedom of choice","For true freedom of choice to be possible, we need equality. Many people have very limited choices just because of race, gender, sexuality, etc. you hear “success stories” about people making it out of difficult situations, I feel many of these are due more to luck, than the choices made.",0,"Freedom of choice","Liberty","Independence","Individually","Equality",6,5,5,4,"vote","trump",NA,3,2,3,"male",44,"hisp","some coll","$100,000 to $124,999","trustgov","radchange","ampride","demsatis","antiest","FL",2,1,3,5,"11/22/2024 10:16"
3208,"brkn",5.5,2,2,4,5,6,5.5,"Liberty","The United States has far too many laws and rules to be living up to its promise of liberty. Also, the government as a whole is too corrupt and micromanaging.",0,"Liberty","Unity","Diversity","No idea","Self goverment",6,6,4,6,"no vote",NA,NA,2,1,3,"female",25,"hisp","some coll","$60,000 to $74,999","antiest","demsatis","radchange","ampride","trustgov","RI",11,1,1,1,"11/23/2024 14:00"
3218,"brkn",3,5,5,6,3,3,3,"Opportunity","Media is quick to point out circumstances where minorities are often subjected to discrimination.  Women of color have the double task to fight.",0,"Freedom of speech","Equality","Opportunity","Right to fair trial","Right to bear arms",3,3,3,3,"no vote",NA,NA,5,4,4,"male",69,"white/non-hisp","some coll","$85,000 to $99,999","antiest","demsatis","ampride","trustgov","radchange","DE",2,1,3,5,"11/19/2024 19:04"
3223,"brkn",4.75,3,2,4,6,6,5.58333333333333,"Liberty","We are being bombarded with laws that take our freedoms away. The government has given liberties to certain groups while taking away the rights and freedoms of others.",0,"Honesty","Equality","Representation","Liberty","Justice",5,5,5,4,"vote","trump",NA,4,3,3,"female",60,"hisp","HS","$5,000 to $9,999","trustgov","radchange","demsatis","ampride","antiest","LA",12,6,3,7,"11/20/2024 15:42"
3234,"kept",6,2,3,3,5,5,5.33333333333333,"Freedom","Any race can do the same things as any other race. Your sexual orientation doesn’t matter or it shouldn’t.",0,"Freedom","Democracy","Justice","Equality","Liberty",7,7,6,4,"vote","harris",NA,3,2,3,"female",44,"white/non-hisp","some coll","$85,000 to $99,999","ampride","radchange","antiest","trustgov","demsatis","WI",10,1,2,3,"12/1/2024 20:50"
3248,"kept",5.25,2,4,3,7,4,5.41666666666667,"Equality","Laws and govt programs which aim to give everyone a fair shot in the economy or to vote. Progressive tax laws as well.",0,"Equality","Fairness","Democracy","Justice","Rule of law",7,5,5,4,"vote","harris",NA,1,1,1,"female",31,"white/non-hisp","masters","$40,000 to $49,999","ampride","radchange","trustgov","demsatis","antiest","DC",10,1,3,5,"11/22/2024 8:37"
3253,"ctrl",5.5,1,1,1,5,7,5.83333333333333,"a living amendable document","A document that realizes the need for change. I document that can change with a society and correct the problems as they arise. A document that can serve as a living memory of what we value and change with the times.",0,"separation of powers","a living amendable document","guaranteed states rights","Bill of rights","guaranteed freedoms",7,5,4,6,"vote","harris",NA,1,1,1,"male",41,"hisp","bachelors","$85,000 to $99,999","antiest","ampride","radchange","demsatis","trustgov","TX",10,1,3,7,"11/22/2024 13:28"
3257,"kept",5.75,4,4,3,2,4,3.91666666666667,"Liberty","People are free to make their own decisions. There are also problems and the US is not fully living up to this promise.",0,"Freedom","Liberty","Equality","Fairness","Justice",5,6,6,6,"no vote",NA,NA,4,3,3,"male",30,"white/non-hisp","some coll","$30,000 to $34,999","radchange","demsatis","antiest","trustgov","ampride","NC",13,4,3,5,"11/27/2024 11:33"
3273,"brkn",4,4,2,5,3,6,4.33333333333333,"All created equal","The ideals are in place unfortunately those ideals are applied and interpreted by individuals.  And individuals don’t make decisions usually based or live life by ideals they act selfishly and in their own best interests",0,"Freedom religion","Basic rights","Freedom of speech","All created equal","Due process",2,4,4,6,"vote","trump",NA,6,5,4,"male",44,"hisp","masters","$200,000 or more","antiest","demsatis","ampride","radchange","trustgov","FL",11,1,3,5,"11/19/2024 21:32"
3276,"kept",3.25,4,6,6,2,2,2.41666666666667,"Democracy","A government by the people, for the people, elected by the people, with respect for personal freedoms.",0,"Diversity","Democracy","Equality","Service","Integrity",5,4,2,2,"vote","harris",NA,3,2,3,"female",47,"white/non-hisp","some coll","$175,000 to $199,999","trustgov","radchange","ampride","antiest","demsatis","IL",2,1,2,3,"11/19/2024 19:12"
3283,"ctrl",6.25,3,2,1,6,6,6.08333333333333,"Limited Government","Govt has only powers granted by constitution and can only conduct actions permitted by the constitution",0,"Separation of Powers","Republicanismn","Checks and Balances","Federalism","Limited Government",6,6,6,7,"no vote",NA,NA,4,3,3,"female",57,"multi/non-hisp","some coll","$40,000 to $49,999","demsatis","radchange","antiest","ampride","trustgov","TX",11,1,3,7,"11/19/2024 17:39"
3284,"kept",3.25,5,5,3,5,3,3.75,"Unity","We as citizens of the United States unite for better future amongst our peers of same beliefs. We unite for justice served against those who are not righteous citizens of our country.",0,"Compassion","Unity","Responsibility","Safekeeping","Justice",5,2,3,3,"vote","trump",NA,4,3,3,"male",25,"hisp","HS","under $5,000","demsatis","trustgov","radchange","antiest","ampride","CA",2,4,4,9,"11/20/2024 11:09"
3290,"kept",4.25,4,4,6,5,4,4.41666666666667,"liberty","Americans are free to choose who they marry, where they work and live, how they earn their living, etc.",0,"equality","freedom of speech","opportunity to thrive","justice","liberty",7,3,3,4,"vote","harris",NA,2,1,3,"female",57,"white/non-hisp","HS","$25,000 to $29,999","radchange","ampride","demsatis","trustgov","antiest","IN",11,1,2,3,"11/20/2024 8:04"
3294,"brkn",4.5,3,4,3,5,4,4.5,"Integrity","Integrity is executed by being honest and upholding laws and procedures.  Doing the right thing even when no one is looking is a prime example of integrity.",0,"Liberty","Quality","Drmocracy","Checks and Balances","Integrity",4,5,6,3,"vote","harris",NA,4,3,2,"female",41,"white/non-hisp","bachelors","$40,000 to $49,999","antiest","radchange","demsatis","trustgov","ampride","KS",12,1,2,4,"11/22/2024 19:28"
3295,"ctrl",6.75,3,1,NA,7,7,6.91666666666667,"Looking out for the best of the government","We are of no importance or wants and safety doesn't matter. Only thing that's matters is what's good for the people working in our government.",0,"Helping non is citizens","Making Congress rich","Looking out for the best of the government","Stringing citizens along","Lies and greed",6,7,7,7,"vote","trump",NA,4,3,NA,"male",19,"white/non-hisp","less HS","$40,000 to $49,999","ampride","trustgov","antiest","radchange","demsatis","OH",1,4,2,3,"11/20/2024 12:22"
3304,"ctrl",4,5,4,7,7,4,5,"Freedom","To be free to do whatever you wish to go wherever you want to go to buy whatever you like to work wherever you want to work",0,"Freedom","Equality","Opportunity","Justice","Diversity",4,4,4,4,"no vote",NA,NA,1,1,1,"male",26,"black/non-hisp","HS","$40,000 to $49,999","antiest","trustgov","ampride","demsatis","radchange","IL",12,1,2,3,"11/19/2024 18:19"
3305,"kept",5.25,3,2,3,5,6,5.41666666666667,"Freedom of opportunity","There is equality and job opportunities everywhere even though the media and others will make it seem like there’s not.",0,"Freedom of opportunity","Freedom of speech","Freedom of religion","Safety","Security",5,6,5,5,"vote","trump",NA,7,5,4,"female",31,"white/non-hisp","some coll","$40,000 to $49,999","radchange","trustgov","antiest","demsatis","ampride","AR",12,1,3,7,"11/19/2024 22:01"
3307,"kept",4.5,4,7,6,3,1,2.83333333333333,"Value","This is the worst county
This country is not nice 
How you do you expect something that sucks ......",0,"Integrity","Value","Honesty","Excited","Existing",4,5,4,5,"no vote",NA,NA,4,3,2,"male",39,"hisp","HS","$85,000 to $99,999","radchange","demsatis","ampride","trustgov","antiest","CA",11,1,4,9,"11/21/2024 18:55"
3321,"brkn",4.5,5,4,7,1,4,3.16666666666667,"freedom","because this country is full of different races and cultures, it seems like everyone do not get along and it causes all sorts of problems to the point of civil wars.",0,"freedom","justice","opportunties","liberty","independance",5,5,5,3,"vote","harris",NA,1,1,1,"male",20,"black/non-hisp","some coll","$50,000 to $59,999","antiest","demsatis","radchange","trustgov","ampride","NY",12,1,1,2,"11/19/2024 20:41"
3324,"brkn",7,1,1,1,7,7,7,"Freedom","Only available to white, rich,  cis, hetero, Christian men. Everyone else has some sort of restrictions.",0,"Freedom","Pursuit of happiness","Independence","Guns","White supremacy",7,7,7,7,"vote","harris",NA,3,2,1,"male",37,"white/non-hisp","masters","$40,000 to $49,999","ampride","trustgov","antiest","radchange","demsatis","WA",9,1,4,9,"11/19/2024 16:51"
3335,"brkn",4.5,4,3,6,3,5,4.16666666666667,"Freedom","Putting limitations on speech. And being offended at everything. Choosing ""safety"" over freedom/privacy.",0,"Freedom","Independence","Courageous","Leader","Trust",2,5,6,5,"vote","trump",NA,7,5,5,"female",41,"white/non-hisp","some coll","$50,000 to $59,999","trustgov","demsatis","antiest","radchange","ampride","MO",12,1,2,4,"11/19/2024 17:29"
3336,"ctrl",6,4,2,5,5,6,5.66666666666667,"Democracy","A system of government by a majority of the people through elected representatives for social equality.",0,"Freedom","Democracy","Secularism","Separation of power","Checks and Balances",6,6,6,6,"vote","harris",NA,3,2,1,"male",73,"white/non-hisp","bachelors","$25,000 to $29,999","trustgov","ampride","radchange","demsatis","antiest","AZ",10,5,4,8,"11/19/2024 17:23"
